"year","team","conference","elo"
2020,"Western Kentucky","Conference USA",1349
2020,"Western Michigan","Mid-American",1515
2020,"West Virginia","Big 12",1573
2020,"Wisconsin","Big Ten",1867
2020,"Wyoming","Mountain West",1584
2021,"Air Force","Mountain West",1725
2021,"Akron","Mid-American",895
2021,"Alabama","SEC",2219
2021,"App State","Sun Belt",1735
2021,"Arizona","Pac-12",1209
2021,"Arizona State","Pac-12",1671
2021,"Arkansas","SEC",1689
2021,"Arkansas State","Sun Belt",1143
2021,"Army","FBS Independents",1567
2021,"Auburn","SEC",1699
2021,"Ball State","Mid-American",1365
2021,"Baylor","Big 12",1785
2021,"Boise State","Mountain West",1746
2021,"Boston College","ACC",1415
2021,"Bowling Green","Mid-American",1066
2021,"Buffalo","Mid-American",1323
2021,"BYU","FBS Independents",1723
2021,"California","Pac-12",1516
2021,"Central Michigan","Mid-American",1554
2021,"Charlotte","Conference USA",1158
2021,"Cincinnati","American Athletic",1952
2021,"Clemson","ACC",1899
2021,"Coastal Carolina","Sun Belt",1721
2021,"Colorado","Pac-12",1331
2021,"Colorado State","Mountain West",1349
2021,"Duke","ACC",1002
2021,"East Carolina","American Athletic",1528
2021,"Eastern Michigan","Mid-American",1320
2021,"Florida","SEC",1609
2021,"Florida Atlantic","Conference USA",1391
2021,"Florida International","Conference USA",871
2021,"Florida State","ACC",1502
2021,"Fresno State","Mountain West",1636
2021,"Georgia","SEC",2220
2021,"Georgia Southern","Sun Belt",1323
2021,"Georgia State","Sun Belt",1534
2021,"Georgia Tech","ACC",1270
2021,"Hawai'i","Mountain West",1398
2021,"Houston","American Athletic",1680
2021,"Illinois","Big Ten",1495
2021,"Indiana","Big Ten",1245
2021,"Iowa","Big Ten",1687
2021,"Iowa State","Big 12",1919
2021,"Kansas","Big 12",1041
2021,"Kansas State","Big 12",1675
2021,"Kent State","Mid-American",1261
2021,"Kentucky","SEC",1756
2021,"Liberty","FBS Independents",1651
2021,"Louisiana","Sun Belt",1831
2021,"Louisiana Tech","Conference USA",1202
2021,"Louisville","ACC",1602
2021,"LSU","SEC",1557
2021,"Marshall","Conference USA",1573
2021,"Maryland","Big Ten",1495
2021,"Massachusetts","FBS Independents",804
2021,"Memphis","American Athletic",1485
2021,"Miami","ACC",1606
2021,"Miami (OH)","Mid-American",1525
2021,"Michigan","Big Ten",2022
2021,"Michigan State","Big Ten",1595
2021,"Middle Tennessee","Conference USA",1418
2021,"Minnesota","Big Ten",1709
2021,"Mississippi State","SEC",1530
2021,"Missouri","SEC",1356
2021,"Navy","American Athletic",1355
2021,"NC State","ACC",1699
2021,"Nebraska","Big Ten",1704
2021,"Nevada","Mountain West",1597
2021,"New Mexico","Mountain West",1094
2021,"New Mexico State","FBS Independents",1027
2021,"North Carolina","ACC",1583
2021,"Northern Illinois","Mid-American",1314
2021,"North Texas","Conference USA",1389
2021,"Northwestern","Big Ten",1292
2021,"Notre Dame","FBS Independents",1990
2021,"Ohio","Mid-American",1303
2021,"Ohio State","Big Ten",2149
2021,"Oklahoma","Big 12",1874
2021,"Oklahoma State","Big 12",1913
2021,"Old Dominion","Conference USA",1335
2021,"Ole Miss","SEC",1737
2021,"Oregon","Pac-12",1611
2021,"Oregon State","Pac-12",1567
2021,"Penn State","Big Ten",1755
2021,"Pittsburgh","ACC",1751
2021,"Purdue","Big Ten",1703
2021,"Rice","Conference USA",1118
2021,"Rutgers","Big Ten",1298
2021,"San Diego State","Mountain West",1553
2021,"San José State","Mountain West",1258
2021,"SMU","American Athletic",1611
2021,"South Alabama","Sun Belt",1277
2021,"South Carolina","SEC",1480
2021,"Southern Miss","Conference USA",1150
2021,"South Florida","American Athletic",1176
2021,"Stanford","Pac-12",1283
2021,"Syracuse","ACC",1358
2021,"TCU","Big 12",1405
2021,"Temple","American Athletic",902
2021,"Tennessee","SEC",1711
2021,"Texas","Big 12",1700
2021,"Texas A&M","SEC",1813
2021,"Texas State","Sun Belt",1155
2021,"Texas Tech","Big 12",1554
2021,"Toledo","Mid-American",1552
2021,"Troy","Sun Belt",1271
2021,"Tulane","American Athletic",1416
2021,"Tulsa","American Athletic",1503
2021,"UAB","Conference USA",1570
2021,"UCF","American Athletic",1604
2021,"UCLA","Pac-12",1751
2021,"UConn","FBS Independents",926
2021,"UL Monroe","Sun Belt",1061
2021,"UNLV","Mountain West",1201
2021,"USC","Pac-12",1481
2021,"Utah","Pac-12",1935
2021,"Utah State","Mountain West",1599
2021,"UTEP","Conference USA",1290
2021,"UTSA","Conference USA",1518
2021,"Vanderbilt","SEC",1084
2021,"Virginia","ACC",1539
2021,"Virginia Tech","ACC",1369
2021,"Wake Forest","ACC",1711
2021,"Washington","Pac-12",1555
2021,"Washington State","Pac-12",1635
2021,"Western Kentucky","Conference USA",1776
2021,"Western Michigan","Mid-American",1557
2021,"West Virginia","Big 12",1485
2021,"Wisconsin","Big Ten",1864
2021,"Wyoming","Mountain West",1496
2022,"Air Force","Mountain West",1768
2022,"Akron","Mid-American",1154
2022,"Alabama","SEC",2181
2022,"App State","Sun Belt",1593
2022,"Arizona","Pac-12",1374
2022,"Arizona State","Pac-12",1446
2022,"Arkansas","SEC",1686
2022,"Arkansas State","Sun Belt",1134
2022,"Army","FBS Independents",1499
2022,"Auburn","SEC",1596
2022,"Ball State","Mid-American",1290
2022,"Baylor","Big 12",1672
2022,"Boise State","Mountain West",1712
2022,"Boston College","ACC",1222
2022,"Bowling Green","Mid-American",1126
2022,"Buffalo","Mid-American",1386
2022,"BYU","FBS Independents",1526
2022,"California","Pac-12",1406
2022,"Central Michigan","Mid-American",1306
2022,"Charlotte","Conference USA",1081
2022,"Cincinnati","American Athletic",1690
2022,"Clemson","ACC",1843
2022,"Coastal Carolina","Sun Belt",1344
2022,"Colorado","Pac-12",986
2022,"Colorado State","Mountain West",1252
2022,"Duke","ACC",1527
2022,"East Carolina","American Athletic",1509
2022,"Eastern Michigan","Mid-American",1400
2022,"Florida","SEC",1581
2022,"Florida Atlantic","Conference USA",1387
2022,"Florida International","Conference USA",859
2022,"Florida State","ACC",1848
2022,"Fresno State","Mountain West",1766
2022,"Georgia","SEC",2300
2022,"Georgia Southern","Sun Belt",1377
2022,"Georgia State","Sun Belt",1486
2022,"Georgia Tech","ACC",1272
2022,"Hawai'i","Mountain West",1120
2022,"Houston","American Athletic",1619
2022,"Illinois","Big Ten",1749
2022,"Indiana","Big Ten",1332
2022,"Iowa","Big Ten",1748
2022,"Iowa State","Big 12",1554
2022,"James Madison","Sun Belt",1659
2022,"Kansas","Big 12",1373
2022,"Kansas State","Big 12",1861
2022,"Kent State","Mid-American",1345
2022,"Kentucky","SEC",1606
2022,"Liberty","FBS Independents",1413
2022,"Louisiana","Sun Belt",1556
2022,"Louisiana Tech","Conference USA",1127
2022,"Louisville","ACC",1753
2022,"LSU","SEC",1871
2022,"Marshall","Sun Belt",1563
2022,"Maryland","Big Ten",1645
2022,"Massachusetts","FBS Independents",861
2022,"Memphis","American Athletic",1568
2022,"Miami","ACC",1316
2022,"Miami (OH)","Mid-American",1380
2022,"Michigan","Big Ten",2124
2022,"Michigan State","Big Ten",1550
2022,"Middle Tennessee","Conference USA",1373
2022,"Minnesota","Big Ten",1758
2022,"Mississippi State","SEC",1694
2022,"Missouri","SEC",1470
2022,"Navy","American Athletic",1457
2022,"NC State","ACC",1586
2022,"Nebraska","Big Ten",1532
2022,"Nevada","Mountain West",1236
2022,"New Mexico","Mountain West",1031
2022,"New Mexico State","FBS Independents",1233
2022,"North Carolina","ACC",1559
2022,"Northern Illinois","Mid-American",1207
2022,"North Texas","Conference USA",1458
2022,"Northwestern","Big Ten",1257
2022,"Notre Dame","FBS Independents",1850
2022,"Ohio","Mid-American",1474
2022,"Ohio State","Big Ten",2107
2022,"Oklahoma","Big 12",1662
