"season","team","conference","games","time_of_poss_total","pass_comps","pass_atts","net_pass_yds","pass_TDs","interceptions","rush_atts","rush_yds","rush_TDs","total_yds","fumbles_lost","turnovers","first_downs","third_downs","third_down_convs","fourth_down_convs","fourth_downs","penalties","penalty_yds","kick_returns","kick_return_yds","kick_return_TDs","punt_returns","punt_return_yds","punt_return_TDs","passes_intercepted","passes_intercepted_yds","passes_intercepted_TDs"
2019,"Arizona","Pac-12",12,19733,261,422,3193,23,12,451,2088,19,5281,6,18,269,186,82,13,20,76,677,37,716,0,14,89,0,11,129,0
2019,"Missouri","SEC",12,21529,226,376,2671,17,8,476,1820,14,4491,6,14,243,181,66,7,13,83,809,9,161,0,21,223,1,8,266,4
2019,"Colorado State","Mountain West",12,21712,279,445,3660,21,11,395,1586,18,5246,13,24,257,169,67,11,21,80,782,34,591,1,21,142,0,6,105,1
2019,"UNLV","Mountain West",12,21614,208,388,2474,20,12,443,2018,17,4492,6,18,232,169,48,17,33,65,536,27,454,0,20,49,0,9,95,0
2019,"Nevada","Mountain West",13,24614,309,499,3238,14,13,442,1498,16,4736,11,24,250,206,75,14,24,96,772,36,645,0,19,185,0,11,85,1
2019,"Ohio State","Big Ten",14,26854,271,406,3684,48,3,663,3735,39,7419,13,16,393,183,101,8,13,81,770,17,283,0,29,212,0,16,280,1
2019,"UConn","American Athletic",12,23354,228,382,2592,14,15,428,1544,13,4136,7,22,223,165,48,10,25,74,618,43,790,0,10,107,0,7,147,1
2019,"Vanderbilt","SEC",12,21067,202,381,2064,10,10,363,1496,11,3560,3,13,190,166,48,8,21,76,649,24,423,0,17,158,0,6,69,1
2019,"Notre Dame","FBS Independents",13,22220,253,416,3278,37,6,472,2311,20,5589,5,11,272,185,74,17,25,84,665,29,403,0,24,211,0,9,107,1
2019,"New Mexico State","FBS Independents",12,19576,278,446,2611,15,15,386,1722,16,4333,12,27,228,171,55,16,26,68,544,31,378,0,18,171,1,5,18,0
2019,"Auburn","SEC",13,22683,228,396,2684,20,6,548,2591,31,5275,11,17,277,189,76,7,15,92,718,23,451,1,24,308,0,9,181,2
2019,"California","Pac-12",13,22639,204,365,2561,19,9,475,1710,16,4271,4,13,244,175,66,6,16,62,544,29,442,0,14,171,0,8,65,0
2019,"Boston College","ACC",13,21691,161,305,2288,20,6,659,3291,27,5579,6,12,277,207,89,13,24,67,516,48,978,0,19,159,0,10,61,1
2019,"Boise State","Mountain West",14,25981,287,464,3664,31,11,519,2309,26,5973,8,19,316,196,93,10,17,75,680,38,826,1,25,301,2,9,84,1
2019,"UTEP","Conference USA",12,23126,177,330,2292,9,8,438,1662,18,3954,6,14,214,162,57,18,25,80,738,31,630,1,18,88,0,5,0,0
2019,"USC","Pac-12",13,22458,365,514,4365,35,15,391,1540,18,5905,11,26,299,168,77,6,10,90,877,40,844,1,21,112,0,9,81,0
2019,"Washington State","Pac-12",13,23144,505,710,5679,50,16,210,885,12,6564,9,25,335,141,60,13,22,84,779,41,858,0,6,97,0,10,126,0
2019,"Baylor","Big 12",14,23734,277,444,3571,24,8,504,2329,35,5900,11,19,309,180,75,6,15,89,740,24,472,0,15,134,1,16,250,0
2019,"Wisconsin","Big Ten",14,29957,246,351,2802,18,5,612,3262,38,6064,17,22,320,189,91,18,23,69,636,28,766,2,32,259,0,12,200,2
